nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Paris,2103778,Paris,Île-de-France,48.857,2.352
Marseille,886040,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.296,5.37
Lyon,519127,Rhône,Auvergne-Rhône-Alpes,45.764,4.836
Toulouse,514819,Haute-Garonne,Occitanie,43.605,1.444
Nice,357737,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.696,7.272
Nantes,327734,Loire-Atlantique,Pays de la Loire,47.218,-1.554
Montpellier,310240,Hérault,Occitanie,43.598,3.897
Strasbourg,293771,Bas-Rhin,Grand Est,48.573,7.752
Bordeaux,267991,Gironde,Nouvelle-Aquitaine,44.838,-0.579
Lille,238246,Nord,Hauts-de-France,50.63,3.071
Rennes,230890,Ille-et-Vilaine,Bretagne,48.112,-1.68
Toulon,179116,Var,Provence-Alpes-Côte d'Azur,43.12,5.932
Reims,177674,Marne,Grand Est,49.258,4.031
Saint-Étienne,173136,Loire,Auvergne-Rhône-Alpes,45.44,4.387
Le Havre,166687,Seine-Maritime,Normandie,49.494,0.108
Villeurbanne,163684,Rhône,Auvergne-Rhône-Alpes,45.766,4.88
Dijon,161830,Côte-d'Or,Bourgogne-Franche-Comté,47.322,5.042
Angers,159022,Maine-et-Loire,Pays de la Loire,47.471,-0.548
Grenoble,156140,Isère,Auvergne-Rhône-Alpes,45.186,5.736
Saint-Denis,155634,La Réunion,La Réunion,-20.879,55.448
Nîmes,151839,Gard,Occitanie,43.837,4.36
Aix-en-Provence,149695,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.53,5.447
Saint-Denis,149077,Seine-Saint-Denis,Île-de-France,48.936,2.358
Clermont-Ferrand,146351,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.78,3.086
Le Mans,146249,Sarthe,Pays de la Loire,48.008,0.197
Brest,142346,Finistère,Bretagne,48.391,-4.485
Tours,139259,Indre-et-Loire,Centre-Val de Loire,47.391,0.69
Amiens,136449,Somme,Hauts-de-France,49.894,2.296
Annecy,132117,Haute-Savoie,Auvergne-Rhône-Alpes,45.899,6.129
Limoges,129937,Haute-Vienne,Nouvelle-Aquitaine,45.826,1.26
Metz,122572,Moselle,Grand Est,49.12,6.176
Perpignan,121616,Pyrénées-Orientales,Occitanie,42.699,2.894
Boulogne-Billancourt,119019,Hauts-de-Seine,Île-de-France,48.836,2.241
Besançon,118489,Doubs,Bourgogne-Franche-Comté,47.238,6.024
Rouen,117662,Seine-Maritime,Normandie,49.444,1.1
Orléans,116357,Loiret,Centre-Val de Loire,47.903,1.909
Montreuil,111934,Seine-Saint-Denis,Île-de-France,48.862,2.441
Caen,109400,Calvados,Normandie,49.181,-0.373
Saint-Paul,108088,La Réunion,La Réunion,-21.01,55.27
Argenteuil,106130,Val-d'Oise,Île-de-France,48.948,2.249
Mulhouse,104978,Haut-Rhin,Grand Est,47.75,7.336
Nancy,103671,Meurthe-et-Moselle,Grand Est,48.693,6.184
Tourcoing,98772,Nord,Hauts-de-France,50.724,3.161
Roubaix,98286,Nord,Hauts-de-France,50.691,3.174
Nanterre,97783,Hauts-de-Seine,Île-de-France,48.892,2.207
Vitry-sur-Seine,93963,Val-de-Marne,Île-de-France,48.789,2.388
Asnières-sur-Seine,93941,Hauts-de-Seine,Île-de-France,48.911,2.289
Créteil,93397,Val-de-Marne,Île-de-France,48.778,2.453
Avignon,92188,Vaucluse,Provence-Alpes-Côte d'Azur,43.949,4.805
Colombes,91053,Hauts-de-Seine,Île-de-France,48.922,2.254
Poitiers,89916,Vienne,Nouvelle-Aquitaine,46.58,0.341
Aubervilliers,88365,Seine-Saint-Denis,Île-de-France,48.915,2.382
Aulnay-sous-Bois,87599,Seine-Saint-Denis,Île-de-France,48.934,2.5
Dunkerque,86263,Nord,Hauts-de-France,51.038,2.377
Saint-Pierre,85038,La Réunion,La Réunion,-21.342,55.478
Versailles,84095,Yvelines,Île-de-France,48.801,2.13
Courbevoie,82902,Hauts-de-Seine,Île-de-France,48.895,2.255
Rueil-Malmaison,82874,Hauts-de-Seine,Île-de-France,48.878,2.181
Le Tampon,82579,La Réunion,La Réunion,-21.278,55.515
Béziers,81545,Hérault,Occitanie,43.343,3.214
Pau,80441,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.295,-0.371
La Rochelle,79851,Charente-Maritime,Nouvelle-Aquitaine,46.16,-1.151
Cherbourg-en-Cotentin,78258,Manche,Normandie,49.642,-1.624
Mérignac,78090,Gironde,Nouvelle-Aquitaine,44.845,-0.656
Champigny-sur-Marne,78072,Val-de-Marne,Île-de-France,48.813,2.511
Antibes,77637,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.581,7.128
Saint-Maur-des-Fossés,76572,Val-de-Marne,Île-de-France,48.803,2.485
Ajaccio,76320,Corse-du-Sud,Corse,41.919,8.739
Fort-de-France,75506,Martinique,Martinique,14.607,-61.07
Saint-Nazaire,74568,Loire-Atlantique,Pays de la Loire,47.273,-2.214
Cannes,74350,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.551,7.013
Noisy-le-Grand,72978,Seine-Saint-Denis,Île-de-France,48.849,2.552
Drancy,72390,Seine-Saint-Denis,Île-de-France,48.923,2.445
Mamoudzou,71437,Mayotte,Mayotte,-12.781,45.232
Cergy,70906,Val-d'Oise,Île-de-France,49.052,2.035
Levallois-Perret,68092,Hauts-de-Seine,Île-de-France,48.893,2.288
Issy-les-Moulineaux,67669,Hauts-de-Seine,Île-de-France,48.824,2.274
Calais,67571,Pas-de-Calais,Hauts-de-France,50.953,1.855
Pessac,67339,Gironde,Nouvelle-Aquitaine,44.806,-0.63
Colmar,66970,Haut-Rhin,Grand Est,48.079,7.358
Évry-Courcouronnes,66919,Essonne,Île-de-France,48.624,2.429
Vénissieux,65502,Rhône,Auvergne-Rhône-Alpes,45.697,4.886
Ivry-sur-Seine,65064,Val-de-Marne,Île-de-France,48.812,2.388
Valence,64458,Drôme,Auvergne-Rhône-Alpes,44.933,4.892
Clichy,64410,Hauts-de-Seine,Île-de-France,48.903,2.305
Quimper,64385,Finistère,Bretagne,47.996,-4.102
Antony,64263,Hauts-de-Seine,Île-de-France,48.754,2.296
Bourges,64186,Cher,Centre-Val de Loire,47.081,2.399
La Seyne-sur-Mer,63732,Var,Provence-Alpes-Côte d'Azur,43.102,5.881
Montauban,62945,Tarn-et-Garonne,Occitanie,44.016,1.353
Villeneuve-d'Ascq,62868,Nord,Hauts-de-France,50.62,3.132
Cayenne,62675,Guyane,Guyane,4.938,-52.335
Le Blanc-Mesnil,62376,Seine-Saint-Denis,Île-de-France,48.939,2.464
Troyes,62088,Aube,Grand Est,48.298,4.074
Pantin,61929,Seine-Saint-Denis,Île-de-France,48.897,2.401
Villejuif,60183,Val-de-Marne,Île-de-France,48.792,2.363
Chambéry,59964,Savoie,Auvergne-Rhône-Alpes,45.566,5.921
Niort,59854,Deux-Sèvres,Nouvelle-Aquitaine,46.324,-0.465
Fréjus,59719,Var,Provence-Alpes-Côte d'Azur,43.433,6.737
Neuilly-sur-Seine,59538,Hauts-de-Seine,Île-de-France,48.885,2.27
Sarcelles,59173,Val-d'Oise,Île-de-France,48.997,2.378
Saint-André,58885,La Réunion,La Réunion,-20.96,55.65
Clamart,58576,Hauts-de-Seine,Île-de-France,48.801,2.263
Lorient,58329,Morbihan,Bretagne,47.748,-3.366
Narbonne,57587,Aude,Occitanie,43.184,3.004
Bobigny,56927,Seine-Saint-Denis,Île-de-France,48.906,2.445
Meaux,56905,Seine-et-Marne,Île-de-France,48.958,2.878
Maisons-Alfort,56799,Val-de-Marne,Île-de-France,48.801,2.431
Hyères,55858,Var,Provence-Alpes-Côte d'Azur,43.12,6.13
Vannes,55790,Morbihan,Bretagne,47.658,-2.761
Beauvais,55550,Oise,Hauts-de-France,49.43,2.082
Saint-Louis,54941,La Réunion,La Réunion,-21.287,55.409
La Roche-sur-Yon,54849,Vendée,Pays de la Loire,46.67,-1.429
Chelles,54620,Seine-et-Marne,Île-de-France,48.878,2.59
Corbeil-Essonnes,54471,Essonne,Île-de-France,48.614,2.482
Saint-Laurent-du-Maroni,54429,Guyane,Guyane,5.504,-54.029
Cholet,54404,Maine-et-Loire,Pays de la Loire,47.059,-0.879
Bayonne,54306,Pyrénées-Atlantiques,Nouvelle-Aquitaine,43.493,-1.475
Fontenay-sous-Bois,53757,Val-de-Marne,Île-de-France,48.849,2.475
Saint-Ouen-sur-Seine,53615,Seine-Saint-Denis,Île-de-France,48.912,2.334
Cagnes-sur-Mer,53354,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.664,7.149
Vaulx-en-Velin,53069,Rhône,Auvergne-Rhône-Alpes,45.779,4.92
Épinay-sur-Seine,52833,Seine-Saint-Denis,Île-de-France,48.952,2.313
Saint-Quentin,52813,Aisne,Hauts-de-France,49.847,3.287
Sartrouville,52763,Yvelines,Île-de-France,48.941,2.158
Sevran,52535,Seine-Saint-Denis,Île-de-France,48.94,2.526
Arles,51811,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.677,4.627
Massy,51729,Essonne,Île-de-France,48.731,2.271
Albi,51290,Tarn,Occitanie,43.927,2.146
Les Abymes,51055,Guadeloupe,Guadeloupe,16.271,-61.505
Gennevilliers,50979,Hauts-de-Seine,Île-de-France,48.926,2.293
Saint-Herblain,50973,Loire-Atlantique,Pays de la Loire,47.211,-1.648
Grasse,50970,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.658,6.925
Bondy,50595,Seine-Saint-Denis,Île-de-France,48.902,2.481
Les Sables-d'Olonne,49603,Vendée,Pays de la Loire,46.497,-1.784
Laval,49400,Mayenne,Pays de la Loire,48.071,-0.774
Évreux,49360,Eure,Normandie,49.027,1.152
Saint-Priest,49229,Rhône,Auvergne-Rhône-Alpes,45.695,4.936
Suresnes,48956,Hauts-de-Seine,Île-de-France,48.871,2.225
Martigues,48298,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.406,5.048
Vincennes,48193,Val-de-Marne,Île-de-France,48.848,2.44
Aubagne,47529,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.292,5.57
Saint-Malo,47439,Ille-et-Vilaine,Bretagne,48.652,-2.023
Livry-Gargan,47228,Seine-Saint-Denis,Île-de-France,48.919,2.536
Blois,47219,Loir-et-Cher,Centre-Val de Loire,47.589,1.337
Rosny-sous-Bois,47180,Seine-Saint-Denis,Île-de-France,48.872,2.488
La Courneuve,47167,Seine-Saint-Denis,Île-de-France,48.927,2.39
Brive-la-Gaillarde,47095,Corrèze,Nouvelle-Aquitaine,45.16,1.534
Bastia,46867,Haute-Corse,Corse,42.702,9.452
Talence,46338,Gironde,Nouvelle-Aquitaine,44.808,-0.589
Meudon,46334,Hauts-de-Seine,Île-de-France,48.813,2.239
Montrouge,46324,Hauts-de-Seine,Île-de-France,48.819,2.32
Alès,46125,Gard,Occitanie,44.125,4.077
Carcassonne,46080,Aude,Occitanie,43.212,2.353
Melun,45995,Seine-et-Marne,Île-de-France,48.54,2.661
Choisy-le-Roi,45946,Val-de-Marne,Île-de-France,48.762,2.41
Saint-Germain-en-Laye,45931,Yvelines,Île-de-France,48.899,2.094
Belfort,45912,Territoire de Belfort,Bourgogne-Franche-Comté,47.638,6.863
Charleville-Mézières,45560,Ardennes,Grand Est,49.76,4.72
Alfortville,45531,Val-de-Marne,Île-de-France,48.805,2.42
